,pca,pca_umap,pca_tsne
CST1,0.999999994078086,0.0371360781494999,0.0005466501403301
CST2,0.999999997062534,0.124174100085727,0.154934843405898
DEFB116,0.99999998360428,0.397556649691227,0.387187121091734
DEFB118,0.999999975650946,0.31421414043709,0.33297628203994
DEFB119,0.999999981476471,0.0302745056233586,0.0014132335526297
SPINT4,0.999999992232256,0.0806029359071126,0.0558624205423186
CBLN4,0.999999991038286,0.0108324718147325,0.181749168502869
OR4F5,0.999999964644107,0.225348899863298,0.299216955960986
ACTRT2,0.999999994054827,0.223796863557687,0.3064108638817
PRAMEF12,0.999999985268018,0.613975793562156,0.101945855207916
PRAMEF11,0.999999978954966,0.0145366157215291,0.174558494545726
HNRNPCL1,0.999999975347082,0.143302806558447,0.781332799099561
PRAMEF2,0.999999993212598,0.239568965998606,0.245436980716416
PRAMEF10,0.999999963223822,0.587647226694737,0.572214196819583
PRAMEF6,0.999999988435679,0.291056434441695,0.207684173482265
HNRNPCL2,0.999999995843696,0.0138007122495798,0.0012962199621499
PRAMEF18,0.999999987239081,0.469282480811134,0.278358554676386
PRAMEF5,0.999999981100342,0.0723146808498025,0.0086120552141415
PRAMEF15,0.99999998209904,0.148662268132548,0.306173977506995
PRAMEF19,0.999999973669345,0.280461822237769,0.151074015363465
PRAMEF20,0.999999988771067,0.200865854298831,0.147695558135702
PLA2G2A,0.999999988744813,0.0496986204160585,0.0705882774706157
HMGB4,0.999999989672342,0.0200223790459998,0.0231762433465486
GJB4,0.999999996694381,0.0349167137371584,0.0038561095446528
CYP4A11,0.99999999569407,0.139530086527868,0.143176573387278
HSD3B2,0.999999994267375,0.0379356548103741,0.0033085289352526
HSD3B1,0.999999990436864,0.276427703533123,0.325612631774497
PPIAL4H,0.999999998205858,0.252255539820886,0.0775358485509422
HIST2H4A,0.999999990892105,0.281251684186849,0.077189957459237
HIST2H4B,0.999999995388659,0.280995074241522,0.292482903085085
LCE5A,0.999999977647598,0.252020405721475,0.188978533947048
LCE3D,0.999999985379403,0.243823716610238,0.231835965609142
LCE2D,0.999999992973051,0.264667212435757,0.242794492541853
LCE2C,0.999999987799047,0.423512080371695,0.423287317725356
LCE2B,0.999999986550278,0.116732299000814,0.11044832501906
LCE2A,0.999999985268018,0.613975793562156,0.101945855207916
LCE4A,0.999999990888765,0.101485714781199,0.373846199784873
C1orf68,0.99999998967924,0.705104352474557,0.473484231998289
KPRP,0.999999992858669,0.0476661131513632,0.0854801505124158
LCE1F,0.999999982742505,0.344466646720599,0.31114314441687
LCE1D,0.999999990911633,0.44140423514669,0.233665328595571
LCE1C,0.999999984546902,0.223709416172039,0.524566582344135
LCE1B,0.999999985379403,0.243823716610238,0.231835965609142
LCE1A,0.999999989373221,0.0579166961374585,0.070761087009977
IVL,0.999999996809562,0.0508616947409669,0.071418612020706
SPRR5,0.999999987733479,0.0630436874747274,0.073128683582646
SPRR4,0.999999993159034,0.234758991596901,0.222202331626058
SPRR1A,0.999999988771067,0.200865854298831,0.147695558135702
SPRR3,0.999999985230953,0.120637958850763,0.0514361224628439
SPRR2D,0.999999991283949,0.0063194708460458,0.0385761161599984
SPRR2E,0.999999988883168,0.461080214589285,0.411563316230004
SPRR2F,0.999999992465682,0.252656259711392,0.265380889264367
SPRR2G,0.999999987442145,0.413892396376572,0.435714104333665
LELP1,0.999999994616011,0.0328036434535079,0.163013944306159
PRR9,0.999999980273221,0.327833626505914,0.386774927979239
