,pca,pca_umap,pca_tsne
AL591163.1,0.999999985434622,0.0872976764456487,0.0859293581594922
Z98884.2,0.999999985334827,0.390324583655288,0.375848813007057
AL034417.3,0.999999994847917,0.0158746228313375,0.0589278380994773
SLC2A7,0.999999988305022,0.182816770790561,0.146229090585782
MIR34AHG,0.999999975682189,0.506542016253542,0.427158835674346
LNCTAM34A,0.999999987896703,0.0082709520213031,0.027441737947886
LINC02606,0.999999993614275,0.0093416295253192,0.012828251339051
PIK3CD-AS1,0.999999988609799,0.0950982544923515,0.0387770125692152
AL357140.4,0.999999996355259,0.0459092027714669,0.0245293939091725
AL357140.2,0.999999994440454,0.0544269463322731,0.0969671274674443
AL139424.3,0.999999994948091,0.0551109393898301,0.0784992265883116
AL139424.2,0.999999972963661,0.0545022374732459,0.170818955442391
CORT,0.999999979556296,0.0304098162798353,0.0297120798938999
AL354956.1,0.999999995512341,0.078925659662966,0.0844787303435022
AL139423.1,0.999999995201715,0.130101075022304,0.0662580192249661
C1orf127,0.999999987882796,0.476183577514012,0.472693122926079
ANGPTL7,0.999999993293015,0.0263817783181795,0.0330201915161401
AL031291.1,0.999999989450822,0.0099683458173967,0.192532550140389
DISP3,0.999999989212701,0.254092498352336,0.210991714561902
AL590989.1,0.999999977255133,0.269885727140528,0.0647933144096996
AL031731.1,0.999999978494071,0.377739291917858,0.15089991911812
C1orf167,0.999999977872557,0.11626794510955,0.023350271753697
AL953897.1,0.999999971698277,0.299113820057195,0.260540739847411
AL096840.2,0.999999983715162,0.237391075123744,0.219505472062468
AL357835.1,0.999999971069101,0.37999685989965,0.487099696856729
C1orf158,0.999999971069101,0.103759525294072,0.110447826057282
HNRNPCL1,0.999999962289988,0.419529189848534,0.237011077295393
PRAMEF20,0.999999971406363,0.40273485750248,0.390470342071491
LRRC38,0.999999995013994,0.0329421055452927,0.0084566932017974
PDPN,0.99999998251687,0.330259596736387,0.0386556555773842
AL357873.1,0.999999990533944,-0.000100708638344,0.0039560348655725
KAZN-AS1,0.999999992843924,0.22181750845176,0.087754875284693
AL031293.1,0.999999961736713,0.430340894948365,0.0768642804862915
TMEM51-AS1,0.999999984261573,0.0188472911604966,0.0264088436770809
C1orf195,0.999999995983436,0.28546072909989,0.222380902143037
AL031283.2,0.999999992049447,0.438485362357305,0.441067099379925
CTRC,0.999999992571929,0.0048562830701197,0.0095222369175102
CELA2A,0.999999977963805,0.0832101259149454,0.0687309435653633
AL121992.3,0.999999989662316,0.06157530687967,0.016601890158606
AL121992.1,0.999999997755463,0.0518023376160969,0.0376513392824628
UQCRHL,0.999999996209788,0.0596741848252938,0.0175150580971072
AL109627.1,0.999999995771547,0.0512168289478679,0.0116135318974978
CPLANE2,0.999999994757062,0.118834423951525,0.172063709416564
AL137802.2,0.999999991456342,0.0783469012196511,0.0640792363737161
AL021920.3,0.99999998884118,0.398875180333458,0.30556115386247
MFAP2,0.99999998251687,0.381618557267536,0.621087342750648
PADI1,0.999999968712398,0.162669774856347,0.335357902849857
